"[-10.8935, -9.15412, -10.6785, -10.2828, -9.14967, -8.84994, -6.9752, -12.7136, -9.08171, -11.8178, -12.879, -15.532, -14.4287, -15.4361, -15.2245, -13.9806, -11.0566, -11.2045, -13.1406, -12.0586, -12.8248, -11.1631, -11.8271, -7.56817, -4.05595, 0.304065, -4.5704, -5.55852, -6.92526, 2.09692, 3.52285]","[3.90074, 9.62712, 8.02787, 8.6321, 2.49288, 1.98541, 3.54208, -1.00036, 1.60116, 2.72828, 7.06379, 4.19829, 0.761369, -4.79059, -4.64492, -6.89743, -4.07181, -7.64169, -1.57266, 1.97264, 6.40213, 8.94946, 10.9685, 6.07183, 13.2911, 16.6552, 17.6015, 19.377, 4.28789, -0.514216, -0.247923]"
"[-4.11807, -10.0257, -2.96277, -11.655, -11.7089, -11.6977, -11.6344, -11.6329, -11.6209, -14.227, -4.41019, -3.66445, -3.62239, -3.66358, -3.84329, -3.99436, -4.08225, -9.93486, -12.5162, -22.2665, -27.4622, -26.2508, -31.0998, -29.35, -12.3623, 2.06221, 13.993, 18.7036, 16.208, 5.59938, -7.67535]","[-40.0409, -32.9505, -27.4368, -37.28, -37.2284, -37.2391, -37.2997, -37.3011, -37.3126, -40.6609, -61.7949, -62.6586, -62.7301, -62.6729, -62.3673, -62.1103, -61.9608, -51.8822, -50.6863, -60.607, -60.0213, -60.2649, -65.3363, -58.7897, -80.4004, -89.2925, -90.6885, -94.1664, -96.4194, -93.4467, -100.02]"
"[-6.989, -7.36443, -10.1987, -13.786, -15.7163, -16.7875, -19.5204, -20.3674, -26.7078, -26.2496, -29.5371, -32.7407, -30.1649, -34.2047, -28.1187, -24.6472, -32.7588, -44.0284, -39.7679, -37.4319, -41.4303, -44.7626, -42.8788, -42.6848, -42.8174, -39.1512, -48.4864, -46.0756, -53.2618, -52.4287, -53.8388]","[-12.8, -14.0794, -20.8327, -21.4998, -14.8693, -14.3138, -12.2924, -7.26593, -9.81891, -8.98263, -14.8098, -20.4519, -14.9771, -19.1995, -19.8863, -17.4123, -24.0685, -20.3481, -27.3296, -22.0689, -23.1493, -27.9977, -29.0593, -26.183, -25.4117, -29.4793, -33.7106, -28.6109, -30.9935, -36.239, -29.6341]"
"[0.831506, 7.0698, 7.21981, 2.87374, -11.2042, -6.76107, -0.174073, 4.6293, 8.31754, 7.91491, 13.1614, 4.36114, -0.987973, 0.128035, -7.8126, -10.6237, -10.1718, -8.39789, -3.91089, -8.23431, -12.8493, -32.7574, -15.8509, -18.6404, -20.0662, -24.5221, -22.6678, -16.6248, -19.8158, -15.9069, -9.96069]","[52.3986, 54.5134, 41.0792, 40.0845, 45.1458, 45.741, 50.8833, 42.5511, 45.559, 60.0507, 87.2094, 73.119, 80.6363, 83.6833, 90.161, 94.7009, 100.603, 95.4396, 110.101, 97.3428, 89.8605, 85.923, 80.7041, 80.963, 85.616, 87.3381, 87.1857, 73.1181, 68.3778, 61.6116, 63.8633]"
"[-3.71827, -5.76508, -10.1352, -10.8047, -1.96235, -3.27081, -3.58246, -9.21414, -7.27807, -3.64057, -3.32267, 1.60549, -0.980222, -4.23941, -2.39276, 0.557552, 0.345112, -1.00781, 3.92603, -3.18198, 2.86083, 0.181552, -6.33625, -14.0292, -12.1006, -5.41838, -8.55252, -8.48364, -5.90892, -9.82404, -10.3051]","[-4.72912, -2.2026, -5.46314, -13.2245, -10.8325, -6.78664, -5.89806, 0.0532987, 0.51705, 2.03986, 1.61235, -2.43125, -8.21052, -3.86222, -1.73041, -9.07365, 2.70957, 1.12654, 4.63464, 9.1225, 7.46688, 8.3094, 5.66105, 9.20415, 8.39196, 12.5783, 10.4996, 7.5919, 7.59463, 9.85432, 7.74288]"
"[27.7022, 26.3397, 23.5418, 27.2372, 29.7009, 35.0834, 38.4004, 41.7275, 43.6861, 42.6906, 44.6448, 51.0513, 54.0491, 62.592, 69.0415, 66.4511, 61.4154, 56.2043, 52.6597, 46.2083, 49.63, 56.5289, 55.1008, 59.8023, 59.3393, 63.5437, 69.5626, 74.9821, 81.1271, 85.8607, 92.6466]","[2.49166, 3.67289, 1.46872, -3.19235, -6.46732, -8.11491, -5.12599, -7.39784, -12.5886, -18.4514, -21.0124, -19.2503, -12.9526, -16.0743, -12.8742, -13.7493, -9.61595, -9.21535, -16.215, -11.9121, -8.57908, -7.7653, -11.0787, -6.10904, -4.26419, -4.24508, -6.6148, -6.01028, 0.588947, 4.35738, 4.40324]"
"[-41.5431, -35.2462, -38.5706, -39.9602, -40.3305, -44.7397, -39.7658, -46.7921, -53.3905, -53.7511, -42.3978, -47.716, -38.4313, -25.3261, -23.366, -24.1665, -28.1718, -20.0927, -22.9633, -25.0744, -29.4232, -33.1587, -28.4731, -19.1117, -30.1751, -28.1194, -27.6766, -45.0174, -45.4766, -50.0046, -43.3462]","[22.6222, 20.9421, 21.8434, 16.485, 12.4225, 25.609, 24.8844, 27.3637, 24.5234, 23.9919, 22.5148, 23.3802, 24.1403, 16.1169, 21.4349, 19.5162, 28.8597, 29.1421, 27.5243, 33.4864, 31.7619, 21.0561, 23.5949, 23.0182, 15.4254, 16.6266, 16.9876, 14.2692, 18.9345, 0.896278, -3.04162]"
"[-0.376558, -0.400357, -0.419378, -0.432283, -0.442171, -0.44875, -0.457018, -0.46006, -0.464415, -0.462174, -0.474514, -0.467819, -0.471391, -0.471226, -0.468061, -0.473005, -0.472547, -0.472244, -0.478126, -0.473228, -0.474912, -0.47134, -0.479086, -0.475247, -0.475884, -0.474604, -0.478443, -0.474561, -0.474667, -0.473099, -0.475995]","[4.63725, 4.73222, 4.80123, 4.85344, 4.88949, 4.91696, 4.94012, 4.95681, 4.96845, 4.98006, 4.9874, 4.99587, 5.00125, 5.00611, 5.00981, 5.01115, 5.01375, 5.01577, 5.01661, 5.01797, 5.01803, 5.01989, 5.019, 5.02065, 5.02041, 5.02063, 5.01996, 5.02117, 5.02088, 5.02223, 5.02113]"
"[-5.45437, -12.5515, -13.311, -20.3855, -15.7223, -29.9892, -28.4163, -25.0327, -21.6595, -22.2402, -28.3988, -25.4219, -32.784, -31.0918, -25.1595, -19.3784, -14.0946, -13.1275, -15.7336, -17.1062, -8.64542, -7.12033, -15.9997, -24.3287, -31.963, -38.9852, -34.958, -33.1737, -34.08, -34.9015, -29.4313]","[-9.46634, -14.6081, -16.9292, -12.6491, -11.6732, -14.7142, -20.1881, -16.2157, -20.3102, -24.2873, -20.0601, -21.5654, -15.9004, -15.9199, -13.5869, -7.34249, -5.1952, -0.65831, 9.75043, 7.3191, 8.52614, 5.0103, 0.63412, -3.70658, 3.14786, 3.45983, 2.38053, 3.87891, -0.711442, -1.79298, 2.42629]"
"[4.7562, -0.344447, 3.26964, 0.939149, -0.395369, -1.15264, -3.36142, -1.75566, -0.78917, -8.10847, -16.6665, -18.7921, -10.7636, -3.99791, -5.07511, 0.6154, -8.34474, -3.53127, -2.48444, -2.39538, -2.33294, -12.4113, -13.207, -12.4341, -13.9485, -16.7507, -16.0977, -15.2991, -18.3879, -11.9817, -3.00234]","[-0.945832, -5.32201, -1.63386, 3.94528, 13.1081, 15.4726, 21.4596, 17.3995, 16.888, 26.6377, 29.8762, 31.3013, 29.0562, 40.7554, 38.9894, 63.5785, 78.5881, 75.2431, 69.4951, 68.6358, 68.0334, 66.103, 65.1394, 65.0737, 53.4582, 46.1498, 45.2109, 37.6979, 22.5426, 27.3868, 32.5016]"
